request_idx,with_other_issue,primary_issue,request_id,therapist_id,variant,raw_match_score,apply_fit,apply_msg_len,rationale
0,0,trauma_ptsd,exp-req-000-c62f7a,915967e3-ac56-4a36-8f02-effab988618f,A_empty,95,0,0,No apply message provided.
0,0,trauma_ptsd,exp-req-000-c62f7a,450d8b34-2ff1-46e1-af0d-44b39d5943f0,B_oneliner,95,0,27,"Message is extremely brief and generic, failing to acknowledge the patient's trauma/PTSD, anxiety concerns, preference for directness, or prior therapy experience."
0,0,trauma_ptsd,exp-req-000-c62f7a,30a94252-3cd0-42d1-a960-86def311f9e8,C_generic_long,95,1.0,327,"Generic introduction that doesn't mention trauma, PTSD, anxiety, direct style preference, or prior therapy experience by name."
0,0,trauma_ptsd,exp-req-000-c62f7a,07e66493-e3fc-4ab5-b871-e169e74e4c85,D_issue_specific,95,3.5,207,"Addresses trauma/PTSD by name and confirms expertise, but doesn't acknowledge the preference for direct style or that prior therapy didn't help."
0,0,trauma_ptsd,exp-req-000-c62f7a,fdfb1214-b096-47e0-a9c7-161f6bc62966,E_full_engagement,95,5.0,563,"Directly names trauma/PTSD, addresses the direct style preference, and explicitly engages with the prior therapy experience that didn't click."
1,1,life_transitions,exp-req-001-3191bb,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,88,0,0,No apply message provided.
1,1,life_transitions,exp-req-001-3191bb,b5ceb107-0e6b-4dcb-9072-95e571301937,B_oneliner,87,0.5,27,"The message is extremely brief and generic, failing to address life transitions, acknowledge the patient's preference for directness in a meaningful way, or engage with any aspect of their presenting "
1,1,life_transitions,exp-req-001-3191bb,e70837da-8585-4619-9c8f-f478a93c6aa3,C_generic_long,87,1.0,327,Generic introduction that vaguely alludes to 'what brings you in' but doesn't specifically name life transitions or address the direct style preference.
1,1,life_transitions,exp-req-001-3191bb,bcf52a27-d5ef-4a28-a35b-20439278c3ac,D_issue_specific,86,3.5,212,"Directly addresses life transitions as primary concern and mentions collaborative approach, but does not specifically acknowledge the patient's preference for directness or their status as new to ther"
1,1,life_transitions,exp-req-001-3191bb,b4733156-b012-4a9a-81a7-2203f06c6f16,E_full_engagement,86,5.0,462,"Directly names life transitions as her focus, speaks to her direct style, and explicitly acknowledges this being the patient's first time in therapy."
2,0,anxiety,exp-req-002-a5f2b8,915967e3-ac56-4a36-8f02-effab988618f,A_empty,95,0,0,No apply message provided.
2,0,anxiety,exp-req-002-a5f2b8,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,95,0,27,"The message is a two-word generic statement that doesn't acknowledge the patient's anxiety, preference for directness, or prior therapy experience."
2,0,anxiety,exp-req-002-a5f2b8,accc4ff3-675f-4894-9cd3-1feaeffb268e,C_generic_long,95,0.5,327,"This is a completely generic message that doesn't mention anxiety, the patient's direct style preference, or acknowledge their prior therapy experience that didn't help."
2,0,anxiety,exp-req-002-a5f2b8,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,D_issue_specific,95,3.5,203,"Addresses anxiety by name and confirms expertise, but does not acknowledge the patient's preference for directness or that prior therapy has not helped."
2,0,anxiety,exp-req-002-a5f2b8,b4733156-b012-4a9a-81a7-2203f06c6f16,E_full_engagement,95,5.0,462,"Directly addresses anxiety by name, explicitly acknowledges the direct style preference, and specifically engages with the prior therapy experience by offering to understand what was missing."
3,1,life_transitions,exp-req-003-0e953a,54f8069d-9336-4d14-96b5-a692e3bf61f8,A_empty,95,0,0,No apply message provided.
3,1,life_transitions,exp-req-003-0e953a,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,95,0,27,"The message is entirely generic and makes no attempt to address the patient's life transitions concern, style preference, or prior therapy experience."
3,1,life_transitions,exp-req-003-0e953a,accc4ff3-675f-4894-9cd3-1feaeffb268e,C_generic_long,95,1.0,327,"Generic introduction that doesn't mention life transitions, style preferences, or acknowledge prior therapy experience."
3,1,life_transitions,exp-req-003-0e953a,bcf52a27-d5ef-4a28-a35b-20439278c3ac,D_issue_specific,95,3.5,212,"Clearly names and prioritizes life transitions, but does not address the patient's style preference for warm/direct communication or acknowledge their prior therapy experience."
3,1,life_transitions,exp-req-003-0e953a,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,E_full_engagement,95,5.0,458,"Directly names life transitions as their focus, acknowledges the warm + direct style preference, and explicitly references the college therapy experience that didn't click."
4,0,relationship_issues,exp-req-004-12a849,b5ceb107-0e6b-4dcb-9072-95e571301937,A_empty,95,0,0,No apply message provided.
4,0,relationship_issues,exp-req-004-12a849,a0cb7637-81de-46ec-85d0-8234c4dd3c92,B_oneliner,95,0,27,"The message is entirely generic with no acknowledgment of the patient's relationship issues, style preferences, or prior therapy experience."
4,0,relationship_issues,exp-req-004-12a849,915967e3-ac56-4a36-8f02-effab988618f,C_generic_long,95,1.5,327,"Generic introduction that doesn't mention relationship issues, style preferences, or acknowledge the prior therapy experience that didn't work out."
4,0,relationship_issues,exp-req-004-12a849,54f8069d-9336-4d14-96b5-a692e3bf61f8,D_issue_specific,95,3.5,215,"Addresses the primary concern (relationship issues) directly and mentions collaborative approach, but does not acknowledge prior therapy experience or articulate how their style would differ from what"
4,0,relationship_issues,exp-req-004-12a849,30a94252-3cd0-42d1-a960-86def311f9e8,E_full_engagement,95,5.0,571,"Directly names relationship issues as his focus, acknowledges the prior therapy experience and offers to understand what was missing, and describes his warm + direct style that matches the patient's s"
5,1,relationship_issues,exp-req-005-e8ee89,774a11fb-6558-433b-8df2-6ebf0c120279,A_empty,95,0,0,No apply message provided.
