request_idx,with_other_issue,primary_issue,request_id,therapist_id,variant,raw_match_score,apply_fit,apply_msg_len,rationale
0,0,trauma_ptsd,exp-req-000-81323a,915967e3-ac56-4a36-8f02-effab988618f,A_empty,95,0,0,No apply message provided.
0,0,trauma_ptsd,exp-req-000-81323a,450d8b34-2ff1-46e1-af0d-44b39d5943f0,B_oneliner,95,0.5,27,"Message is extremely brief and generic, failing to address trauma/PTSD, anxiety, the patient's prior therapy experience, or preference for directness."
0,0,trauma_ptsd,exp-req-000-81323a,30a94252-3cd0-42d1-a960-86def311f9e8,C_generic_long,95,0.5,327,"Generic message that fails to mention trauma, PTSD, anxiety, the patient's preference for directness, or their prior therapy experience that didn't click."
0,0,trauma_ptsd,exp-req-000-81323a,07e66493-e3fc-4ab5-b871-e169e74e4c85,D_issue_specific,95,2.5,207,"Addresses trauma/PTSD by name and mentions collaborative approach, but does not acknowledge the patient's direct style preference or their prior unhelpful therapy experience in college."
0,0,trauma_ptsd,exp-req-000-81323a,fdfb1214-b096-47e0-a9c7-161f6bc62966,E_full_engagement,95,5.0,563,"Directly names trauma/PTSD, acknowledges warm+direct style preference, references college therapy experience that didn't click, and engages the free-text quote verbatim."
1,1,life_transitions,exp-req-001-19af1a,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,90,0,0,No apply message provided.
1,1,life_transitions,exp-req-001-19af1a,b5ceb107-0e6b-4dcb-9072-95e571301937,B_oneliner,88,0,27,"The message is completely generic and fails to acknowledge any aspect of the patient's presenting issue, their preference for directness, or the significant context about leaving their religious backg"
1,1,life_transitions,exp-req-001-19af1a,bcf52a27-d5ef-4a28-a35b-20439278c3ac,C_generic_long,88,0.5,327,"This is a completely generic response that could be sent to any patient and fails to acknowledge the life transition, direct style preference, or the significant religious departure and emotional comp"
1,1,life_transitions,exp-req-001-19af1a,b4733156-b012-4a9a-81a7-2203f06c6f16,D_issue_specific,88,1.5,212,Mentions life transitions by name but does not acknowledge the patient's direct style preference or engage with the meaningful free-text context about leaving a strict religious household.
1,1,life_transitions,exp-req-001-19af1a,6b516846-cd70-45b7-b0f5-0be6e6253468,E_full_engagement,88,3.5,462,"Addresses the primary concern (life transitions) and style preference (direct), and acknowledges first-time therapy status, but does not engage with the powerful free-text context about leaving the ch"
2,0,anxiety,exp-req-002-a9f0ab,915967e3-ac56-4a36-8f02-effab988618f,A_empty,95,0,0,No apply message provided.
2,0,anxiety,exp-req-002-a9f0ab,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,95,0.5,27,"Message is extremely generic with no mention of anxiety, direct communication style, or prior therapy experience that didn't help."
2,0,anxiety,exp-req-002-a9f0ab,accc4ff3-675f-4894-9cd3-1feaeffb268e,C_generic_long,95,1.0,327,"Generic introduction that does not specifically address anxiety, the direct style preference, or the fact that prior therapy did not help."
2,0,anxiety,exp-req-002-a9f0ab,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,D_issue_specific,95,3.0,203,"Addresses the primary concern (anxiety) directly and acknowledges their preference for directness with a concise, straightforward message, but does not engage with their prior therapy experience that "
2,0,anxiety,exp-req-002-a9f0ab,b4733156-b012-4a9a-81a7-2203f06c6f16,E_full_engagement,95,5.0,462,"Addresses anxiety by name, directly acknowledges prior therapy that didn't help and offers to explore what was missing, and explicitly confirms a direct style preference."
3,1,life_transitions,exp-req-003-4051ff,54f8069d-9336-4d14-96b5-a692e3bf61f8,A_empty,95,0,0,No apply message provided.
3,1,life_transitions,exp-req-003-4051ff,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,95,0,27,"Generic two-word message that fails to engage the patient's presenting concern, style preferences, therapy history, or the urgent family crisis described in free text."
3,1,life_transitions,exp-req-003-4051ff,accc4ff3-675f-4894-9cd3-1feaeffb268e,C_generic_long,95,0.5,327,"Completely generic message that fails to acknowledge the patient's family crisis, their child coming out, marital strain, or any of the specific concerns they shared."
3,1,life_transitions,exp-req-003-4051ff,bcf52a27-d5ef-4a28-a35b-20439278c3ac,D_issue_specific,95,1.5,212,"Mentions life transitions by name but ignores the patient's urgent family crisis, style preferences, and prior therapy experience—reads as a template rather than a genuine response to her specific, vu"
3,1,life_transitions,exp-req-003-4051ff,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,E_full_engagement,95,2.5,458,"Addresses the primary concern (life transitions) and style preference (warm, direct) and acknowledges prior therapy notes, but completely fails to engage the substantial free-text context about the pa"
4,0,relationship_issues,exp-req-004-577363,b5ceb107-0e6b-4dcb-9072-95e571301937,A_empty,95,0,0,No apply message provided.
4,0,relationship_issues,exp-req-004-577363,a0cb7637-81de-46ec-85d0-8234c4dd3c92,B_oneliner,95,0,27,"The message is completely generic and fails to acknowledge the patient's relationship issues, preference for structured and warm therapy, or their previous therapy experience."
4,0,relationship_issues,exp-req-004-577363,915967e3-ac56-4a36-8f02-effab988618f,C_generic_long,95,0.5,327,"Completely generic message that fails to mention relationship issues, the patient's style preferences, or their prior therapy experience that didn't work out."
4,0,relationship_issues,exp-req-004-577363,54f8069d-9336-4d14-96b5-a692e3bf61f8,D_issue_specific,95,2.5,215,"Mentions relationship issues by name and offers a warm collaborative tone, but does not address the prior therapy experience of not clicking or the preference for structure."
4,0,relationship_issues,exp-req-004-577363,30a94252-3cd0-42d1-a960-86def311f9e8,E_full_engagement,95,5.0,571,"Directly addresses relationship issues by name, acknowledges the prior therapy experience and offers to explore what was missing, speaks to both structured and warm style preferences, and explicitly q"
5,1,relationship_issues,exp-req-005-257213,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,95,0,0,No apply message provided.
5,1,relationship_issues,exp-req-005-257213,1dc7c2c2-f35c-4226-a8f7-996f3ef5c90b,B_oneliner,95,0,27,"The message is a generic two-word response that fails to acknowledge any of the patient's concerns, professional context, compassion fatigue, or therapy preferences."
5,1,relationship_issues,exp-req-005-257213,774a11fb-6558-433b-8df2-6ebf0c120279,C_generic_long,95,0.5,327,"Completely generic message that fails to acknowledge any of the patient's specific concerns (relationship issues, trauma, life transitions), their preference for structured/warm style, or the critical"
5,1,relationship_issues,exp-req-005-257213,d8739fb7-dd14-4820-9c2d-4b41477936ac,D_issue_specific,94,1.5,215,"Mentions relationship issues but ignores the patient's critical free-text context about compassion fatigue, prior therapy experience, and the trauma/life transitions concerns."
5,1,relationship_issues,exp-req-005-257213,d135e888-21b1-414b-90a5-2892b94c4ee8,E_full_engagement,94,2.5,364,"Addresses relationship issues and warm style preference, but completely ignores the patient's compassion fatigue context and occupational grief, which are central to their request."
6,0,anxiety,exp-req-006-808fb7,723ac8d5-b667-4442-994d-4f65647c0e92,A_empty,89,0,0,No apply message provided.
6,0,anxiety,exp-req-006-808fb7,ea7c8499-17c1-432e-855a-f26458dfd4c7,B_oneliner,84,0,27,"The message is completely generic and fails to acknowledge any aspect of the patient's concerns, preferences, or prior therapy experience."
6,0,anxiety,exp-req-006-808fb7,30a94252-3cd0-42d1-a960-86def311f9e8,C_generic_long,82,1.0,327,"The message is entirely generic and does not mention any of the patient's specific concerns (anxiety, trauma/PTSD, depression), their exploratory style preference, or their prior therapy experience."
6,0,anxiety,exp-req-006-808fb7,c1e44a53-b724-43e0-9a7c-628e33362aae,D_issue_specific,82,2.5,203,"Addresses anxiety by name and mentions collaborative approach (loosely fits exploratory preference), but completely ignores trauma/PTSD, depression, and the important context about prior therapy not c"
6,0,anxiety,exp-req-006-808fb7,d135e888-21b1-414b-90a5-2892b94c4ee8,E_full_engagement,79,5.0,550,"Addresses anxiety by name, acknowledges their style preference (exploratory) while transparently sharing her own approach, and directly engages the free-text note about the college therapist not click"
7,1,depression,exp-req-007-8fc8cf,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,95,0,0,No apply message provided.
7,1,depression,exp-req-007-8fc8cf,ea7c8499-17c1-432e-855a-f26458dfd4c7,B_oneliner,95,0,27,"Generic two-word message that completely ignores the patient's depression, trauma, cultural context, therapy history, and preference for structured approach."
7,1,depression,exp-req-007-8fc8cf,774a11fb-6558-433b-8df2-6ebf0c120279,C_generic_long,95,0.5,327,"Completely generic message that fails to mention depression, trauma, cultural identity, family dynamics, or any aspect of the patient's structured style preference or prior CBT experience."
7,1,depression,exp-req-007-8fc8cf,723ac8d5-b667-4442-994d-4f65647c0e92,D_issue_specific,95,1.5,206,"Mentions depression in passing but ignores trauma/PTSD, the prior CBT experience, style preference for structure, and the entire cultural/family context shared in free text."
